emb_type,p,task_type,task,top1-acc
pca,20,analogy,gram8-plural,0.4924924924924925
pca,50,analogy,gram8-plural,0.6996996996996997
pca,100,analogy,gram8-plural,0.75
pca,200,analogy,gram8-plural,0.7657657657657657
pca,300,analogy,gram8-plural,0.7605105105105106
pca,1,analogy,gram9-plural-verbs,0.0
pca,2,analogy,gram9-plural-verbs,0.0
pca,5,analogy,gram9-plural-verbs,0.016091954022988506
pca,10,analogy,gram9-plural-verbs,0.1206896551724138
pca,20,analogy,gram9-plural-verbs,0.28735632183908044
pca,50,analogy,gram9-plural-verbs,0.4781609195402299
pca,100,analogy,gram9-plural-verbs,0.5701149425287356
pca,200,analogy,gram9-plural-verbs,0.5839080459770115
pca,300,analogy,gram9-plural-verbs,0.5804597701149425
