emb_type,p,task_type,task,top1-acc
ica,20,analogy,gram4-superlative,0.41622103386809267
ica,50,analogy,gram4-superlative,0.6301247771836007
ica,100,analogy,gram4-superlative,0.6934046345811051
ica,200,analogy,gram4-superlative,0.7040998217468806
ica,300,analogy,gram4-superlative,0.6942959001782532
ica,1,analogy,gram5-present-participle,0.0
ica,2,analogy,gram5-present-participle,0.007575757575757576
ica,5,analogy,gram5-present-participle,0.14962121212121213
ica,10,analogy,gram5-present-participle,0.3560606060606061
ica,20,analogy,gram5-present-participle,0.5227272727272727
ica,50,analogy,gram5-present-participle,0.6751893939393939
ica,100,analogy,gram5-present-participle,0.696969696969697
ica,200,analogy,gram5-present-participle,0.6856060606060606
ica,300,analogy,gram5-present-participle,0.6941287878787878
ica,1,analogy,gram6-nationality-adjective,0.21951219512195122
ica,2,analogy,gram6-nationality-adjective,0.233270794246404
ica,5,analogy,gram6-nationality-adjective,0.3702313946216385
ica,10,analogy,gram6-nationality-adjective,0.48717948717948717
ica,20,analogy,gram6-nationality-adjective,0.7492182614133833
ica,50,analogy,gram6-nationality-adjective,0.9155722326454033
ica,100,analogy,gram6-nationality-adjective,0.9199499687304565
ica,200,analogy,gram6-nationality-adjective,0.9199499687304565
ica,300,analogy,gram6-nationality-adjective,0.9255784865540964
ica,1,analogy,gram7-past-tense,0.0
ica,2,analogy,gram7-past-tense,0.010256410256410256
ica,5,analogy,gram7-past-tense,0.0891025641025641
ica,10,analogy,gram7-past-tense,0.21474358974358973
ica,20,analogy,gram7-past-tense,0.3544871794871795
ica,50,analogy,gram7-past-tense,0.5230769230769231
ica,100,analogy,gram7-past-tense,0.5698717948717948
ica,200,analogy,gram7-past-tense,0.5711538461538461
ica,300,analogy,gram7-past-tense,0.5974358974358974
ica,1,analogy,gram8-plural,0.0
ica,2,analogy,gram8-plural,0.06831831831831832
ica,5,analogy,gram8-plural,0.15315315315315314
ica,10,analogy,gram8-plural,0.2702702702702703
ica,20,analogy,gram8-plural,0.484984984984985
ica,50,analogy,gram8-plural,0.6936936936936937
ica,100,analogy,gram8-plural,0.7424924924924925
ica,200,analogy,gram8-plural,0.7454954954954955
ica,300,analogy,gram8-plural,0.7605105105105106
ica,1,analogy,gram9-plural-verbs,0.0
ica,2,analogy,gram9-plural-verbs,0.028735632183908046
ica,5,analogy,gram9-plural-verbs,0.20229885057471264
ica,10,analogy,gram9-plural-verbs,0.367816091954023
ica,20,analogy,gram9-plural-verbs,0.4689655172413793
ica,50,analogy,gram9-plural-verbs,0.5747126436781609
ica,100,analogy,gram9-plural-verbs,0.6011494252873564
ica,200,analogy,gram9-plural-verbs,0.5988505747126437
ica,300,analogy,gram9-plural-verbs,0.5804597701149425
